#
# This file tracks known errors in the compiled unit test suite.
#
# FILE FORMAT: $test\s+$type\s+$description
#    $test = Name of unit test file. A Symlink file should exist in this directory pointing to this file.
#            The file will have -- corresponding to slashses so unit tests can live in subdirectories under t/
#    $type = Type of test failure. See below for possible values.
#    $description = Information that will display on the TODOs so the test will pass.
#
# Failure profiles $type may be set to:
#    BC      => B::C Fails to generate c code
#    GCC     => gcc cannot compile generated c code
#    SIG     => Compiled binary exits with signal
#    PLAN    => Crashes before completion
#    TESTS   => Some tests are failing
#    SEQ     => The tests run out of sequence
#    TODO    => TODO test unexpectedly failing/succeeding
#    COMPAT  => Test isn't useful for B::C. This test will be a skip_all.
#    SKIP    => The test is so broken that we prefer to skip it for now. ( ~skip_all )
#
# NOTES:
# - Any line in this file not corresponding to a symlink in this folder will be ignored.
# - Fields are white space delimited. It's assumed $test and $type will have no spaces in them.
#

a:                           223       ; b: 223 [ from foo ]"
op/sprintf.t                 TESTS     Test results:
op/sprintf2.t                PLAN      BC issue #219 - overload issue
op/stash.t                   PLAN      Plan was valid
op/sub_lval.t                TESTS     BC issue #277 - sub declaration with :lvalue should apply it to XSUBs
op/substr.t                  PLAN      Plan was valid
op/svleak.t                  COMPAT    This test uses XS::APItest, which we don't install during perl install?
op/threads-dirh.t            COMPAT    We don't support threaded perl in this branch.
op/threads.t                 COMPAT    We don't support threaded perl in this branch.
op/tr.t                      PLAN      Plan was valid
op/universal.t               TESTS     BC issue #300 - PVFM not compiled
op/utf8cache.t               TESTS     Test results:
op/utf8magic.t               TESTS     Test results:
op/utfhash.t                 PLAN      Plan was valid
op/utftaint.t                TESTS     Test results:
op/vec.t                     TESTS     BC issue #269
op/ver.t                     TESTS     Test results:
op/warn.t                    PLAN      Plan was valid
op/yadayada.t                COMPAT    Unimplemented does not display the correct line number
re/fold_grind.t              SIG       Exit signal is 11 SEGV
re/overload.t                TESTS     ?? + BC issue #219 - overload issue
re/pat.t                     PLAN      Recheck BC issue #219 - overload issue + BC issue #295
re/pat_advanced.t            PLAN      Recheck BC issue #317 - nested regexp
re/pat_re_eval.t             PLAN      BC issue #219 - overload issue
re/pat_rt_report.t           PLAN      Plan was valid
re/qr_gc.t                   TESTS     BC issue #309 - regexp destruction
re/reg_60508.t               TESTS     Test results:
re/reg_eval_scope.t          PLAN      BC issue #295 - (?{}) should have its own lexical scope
re/reg_fold.t                SIG       Exit signal is 11 SEGV
re/reg_mesg.t                TESTS     CM issue #26 - warnings from re.pm - Subroutine redefined
re/reg_pmod.t                TESTS     BC issue #295 - (?{}) should have its own lexical scope
re/reg_posixcc.t             PLAN      Plan was valid
re/regex_sets.t              PLAN      Plan was valid
re/rxcode.t                  TESTS     BC issue #295 - (?{}) should have its own lexical scope
re/subst.t                   TESTS     Test results:
re/subst_amp.t               TESTS     BC issue #295 - (?{}) should have its own lexical scope
uni/attrs.t                  PLAN      Plan was valid
uni/bless.t                  PLAN      Plan was valid
uni/caller.t                 PLAN      BC issue #221 - delete is not anonymizing the returned sub
uni/chomp.t                  TESTS     Test results:
uni/chr.t                    COMPAT    BC issue #283 - deprecated "encoding" pragma
uni/class.t                  TESTS     Test results:
uni/fold.t                   SKIP      BC issue #219 - overload issue
uni/goto.t                   PLAN      Plan was valid
uni/greek.t                  COMPAT    BC issue #283 - deprecated "encoding" pragma
uni/gv.t                     PLAN      Plan was valid
uni/labels.t                 PLAN      Plan was valid
uni/latin2.t                 COMPAT    BC issue #283 - deprecated "encoding" pragma
uni/lex_utf8.t               TESTS     Test results:
uni/lower.t                  SIG       Exit signal is 11 SEGV
uni/method.t                 SIG       Exit signal is 11 SEGV
uni/opcroak.t                PLAN      Plan was valid
uni/overload.t               TESTS     Test results:
uni/package.t                SIG       Exit signal is 11 SEGV
uni/parser.t                 PLAN      Plan was valid
uni/readline.t               TESTS     BC issue #269 - constant modification causes segfault not die.
uni/select.t                 TESTS     Test results:
uni/sprintf.t                TESTS     Test results:
uni/stash.t                  PLAN      Plan was valid
uni/tie.t                    PLAN      Plan was valid
uni/title.t                  SIG       Exit signal is 11 SEGV
uni/tr_7jis.t                COMPAT    BC issue #283 - unsupported deprecated "encoding" pragma
uni/tr_eucjp.t               COMPAT    BC issue #283 - unsupported deprecated "encoding" pragma
uni/tr_sjis.t                COMPAT    BC issue #283 - unsupported deprecated "encoding" pragma
uni/tr_utf8.t                COMPAT    BC issue #283 - unsupported deprecated "encoding" pragma
uni/universal.t              PLAN      Plan was valid
uni/upper.t                  SIG       Exit signal is 11 SEGV
uni/variables.t              TESTS     Test results:
uni/write.t                  TESTS     Test results:
xtestc/0013.t                GCC       xtestc/0013.bin is compiled and ready to run.
xtestc/0015.t                TESTS     Output is: "a\nb\n\n"
xtestc/0135.t                TESTS     Output is: ""
xtestc/0142.t                TESTS     Output is: "" expect "ok"
xtestc/0162.t                TESTS     Output is: "Malformed UTF 8 character (1 ..." expect "ok"
xtestc/0163.t                TESTS     Output is: ""
xtestc/0166.t                TESTS     Output is: "" expect "ok"
xtestc/0167.t                TESTS     Output is: "Wide character in crypt at ..."
xtestc/0169.t                TESTS     Output is: "42\n"
xtestc/0173.t                TESTS     Output is: "ok 1\nok 2\nok 3\n"
xtestc/0174.t                TESTS     Output is: "\C is deprecated in regex; ..."
xtestc/0175.t                TESTS     Output is: "ok\n"
xtestc/0179.t                TESTS     Output is: "Smartmatch is experimental at ..."
xtestc/0182.t                TESTS     Output is: "main::foo"
xtestc/0185.t                TESTS     Output is: "not ok\n" expect "ok"
xtestc/0191.t                TESTS     Output is: "bad\n"
xtestc/0196.t                TESTS     Output is: "m: Modification of a read ..."
xtestc/0207.t                TESTS     Output is: ""
xtestc/0222.t                TESTS     Output is: "Can t find string terminator ..."
xtestc/0225.t                TESTS     Output is: "Malformed UTF 8 character ..." expect "end"
xtestc/0226.t                TESTS     Output is: ""
xtestc/0230.t                TESTS     Output is: "\n"
xtestc/0235.t                TESTS     Output is: "3" expect "6"
xtestc/0237.t                TESTS     Output is: " "
xtestc/0239.t                TESTS     Output is: "ok 1\n\n"
xtestc/0241.t                GCC       xtestc/0241.bin is compiled and ready to run.
xtestc/0247.t                TESTS     Output is: ""
xtestc/0248.t                TESTS     Output is: " toto \n"
xtestc/0253.t                TESTS     Output is: "" expect "ok"
xtestc/0255.t                TESTS     Output is: "Malformed UTF 8 character ..." expect "ok"
xtestc/0259.t                SKIP      need investigation: different result on Todd or Nico sandbox
xtestc/0262.t                TESTS     Output is: "Constant subroutine M SQRT2 ..."
xtestc/0263.t                SKIP      need investigation: different result on Todd or Nico sandbox
xtestc/0269.t                TESTS     Output is: ""
xtestc/0274.t                TESTS     Output is: "1..5\nok 1\nok 2\nok 3\nok 4\n"
xtestc/0276.t                TESTS     Output is: ""
xtestc/0277.t                TESTS     Output is: ""
xtestc/0278.t                TESTS     Output is: ""
xtestc/0281.t                TESTS     Output is: ""
xtestc/0288.t                TESTS     Output is: "" expect "ok"
xtestc/0293.t                GCC       xtestc/0293.bin is compiled and ready to run.
xtestc/0294.t                TESTS     Output is: "Constant subroutine GLOB ..."
xtestc/0295.t                TESTS     Output is: ""
xtestc/0300.t                TESTS     Output is: "IO::File "
xtestc/0301.t                TESTS     Output is: "W2" expect "W1W2"
xtestc/0304.t                TESTS     Output is: "0304.bin: pp.c:177: Perl pp ..."
xtestc/0309.t                GCC       xtestc/0309.bin is compiled and ready to run.
xtestc/0317.t                TESTS     Output is: ""
xtestc/0319.t                TESTS     Output is: "Wide character in print at ..."
xtestc/0320.t                TESTS     Output is: "Can t use an undefined value ..." expect "ok"
xtestc/0321.t                TESTS     Output is: "Passing malformed UTF 8 to ..." expect "ok"
xtestc/0329.t                TESTS     Output is: "axxxx \n"
xtestc/0338.t                TESTS     Output is: "Malformed UTF 8 character ..." expect "ok"
xtestc/0350.t                TESTS     Output is: ""
xtestc/0368.t                GCC       xtestc/0368.bin is compiled and ready to run.
xtestc/0369.t                GCC       xtestc/0369.bin is compiled and ready to run.
xtestc/0371.t                TESTS     Output is: ""
xtestc/0374.t                BC        xtestc/0374.c is generated (-O3,-fno-fold)
xtestc/1960.t                GCC       xtestc/1960.bin is compiled and ready to run.
xtestc/2001.t                TESTS     Output is: "" expect "ok"
xtestc/2051.t                TESTS     Output is: "" expect "ok"
xtestc/2052.t                GCC       xtestc/2052.bin is compiled and ready to run.
xtestc/2201.t                GCC       xtestc/2201.bin is compiled and ready to run.
xtestc/2381.t                TESTS     Output is: "Undefined subroutine ..."
xtestc/2450.t                TESTS     Output is: "Malformed UTF 8 character (1 ..." expect "a: 223 ; b: 223
xtestc/2511.t                TESTS     Output is: ""
xtestc/2530.t                TESTS     Output is: " Failed test 1 at xtestc ..." expect "1..2
xtestc/2540.t                TESTS     Output is: ""
xtestc/2721.t                GCC       xtestc/2721.bin is compiled and ready to run.
xtestc/2731.t                TESTS     Output is: "" expect "ok"
xtestc/2741.t                TESTS     Output is: "1..5\nok 1\nok 2\nok 3\nok 4\n"
xtestc/2900.t                TESTS     Output is: "19518210 "
xtestc/2901.t                TESTS     Output is: ""
xtestc/2990.t                GCC       xtestc/2990.bin is compiled and ready to run.
xtestc/3200.t                TESTS     Output is: ""
